athlete_display_name,team_short_display_name,games,avg_pts,avg_rebounds,avg_assists,avg_fg_pct,avg_3pt_made,avg_minutes
Luka Doncic,Mavericks,70,33.9,9.2,9.8,48.4,4.1,37.5
Giannis Antetokounmpo,Bucks,73,30.4,11.5,6.5,61.3,0.5,35.2
Shai Gilgeous-Alexander,Thunder,75,30.1,5.5,6.2,53.7,1.3,34.1
Jalen Brunson,Knicks,77,28.7,3.6,6.7,46.9,2.7,35.4
Devin Booker,Suns,68,27.1,4.5,6.9,48.1,2.2,36
Kevin Durant,Suns,75,27.1,6.6,5,53.1,2.2,37.2
Jayson Tatum,Celtics,74,26.9,8.1,4.9,47.2,3.1,35.8
De'Aaron Fox,Kings,74,26.6,4.6,5.6,46.2,2.9,35.9
Donovan Mitchell,Cavaliers,55,26.6,5.1,6.1,45.3,3.3,35.3
Nikola Jokic,Nuggets,79,26.4,12.4,9,60.1,1.1,34.6
Stephen Curry,Warriors,74,26.4,4.5,5.1,44.4,4.8,32.7
Anthony Edwards,Timberwolves,79,25.9,5.4,5.1,45,2.4,35.1
Tyrese Maxey,76ers,70,25.9,3.7,6.2,44.7,3,37.5
Trae Young,Hawks,54,25.7,2.8,10.8,43.2,3.2,35.9
Kyrie Irving,Mavericks,58,25.6,5,5.2,49.7,3,35
LeBron James,Lakers,72,25.6,7.3,8.2,54.1,2.1,35.3
Anthony Davis,Lakers,77,24.9,12.7,3.5,55.9,0.4,35.6
Damian Lillard,Bucks,73,24.3,4.4,7,42.3,3,35.3
DeMar DeRozan,Bulls,79,24,4.3,5.3,48.2,0.9,37.9
Julius Randle,Knicks,46,24,9.2,5,46.3,1.7,35.4
Desmond Bane,Grizzlies,42,23.7,4.4,5.5,46,3.3,34.4
Kawhi Leonard,Clippers,68,23.7,6.1,3.6,52.4,2.1,34.3
Lauri Markkanen,Jazz,55,23.2,8.2,2,47.9,3.2,33.1
Jaylen Brown,Celtics,70,23,5.5,3.6,49.8,2.1,33.5
Zion Williamson,Pelicans,70,22.9,5.8,5,57.1,0.1,31.6
Cade Cunningham,Pistons,62,22.7,4.3,7.5,43.8,1.9,33.5
Anfernee Simons,Trail Blazers,46,22.6,3.6,5.5,41.2,3.4,34.4
Paolo Banchero,Magic,80,22.6,6.9,5.4,46.2,1.5,35
Paul George,Clippers,74,22.6,5.2,3.5,47,3.3,33.8
Cam Thomas,Nets,66,22.5,3.2,2.9,42.7,2.2,31.4
Dejounte Murray,Hawks,78,22.5,5.3,6.4,45.7,2.6,35.7
Jaren Jackson Jr.,Grizzlies,66,22.5,5.5,2.3,44.2,1.8,32.2
Kyle Kuzma,Wizards,70,22.2,6.6,4.2,46.3,2.2,32.6
Karl-Anthony Towns,Timberwolves,62,21.8,8.3,3,50.6,2.2,32.7
Victor Wembanyama,Spurs,71,21.4,10.6,3.9,46.4,1.8,29.6
Pascal Siakam,Pacers,41,21.3,7.8,3.7,55,1,31.8
Jamal Murray,Nuggets,59,21.2,4.1,6.5,47.4,2.5,31.6
Alperen Sengun,Rockets,63,21.1,9.3,5,53.8,0.5,32.5
Jerami Grant,Trail Blazers,54,21,3.5,2.8,44.1,2.1,33.9
Miles Bridges,Hornets,69,21,7.3,3.3,46.3,2.3,37.5
Brandon Ingram,Pelicans,64,20.8,5.1,5.7,49,1.3,32.9
Jimmy Butler III,Heat,60,20.8,5.3,5,50.8,1,34
Tyler Herro,Heat,42,20.8,5.3,4.5,44.4,3.1,33.5
Kristaps Porzingis,Celtics,57,20.1,7.2,2,51.9,1.9,29.6
Tyrese Haliburton,Pacers,70,20.1,3.9,10.9,47.3,2.8,32.3
CJ McCollum,Pelicans,66,20,4.3,4.6,45.2,3.6,32.7
Scottie Barnes,Raptors,60,19.9,8.2,6,47.3,1.7,34.9
Franz Wagner,Magic,72,19.7,5.3,3.7,48.2,1.3,32.5
Jalen Green,Rockets,82,19.6,5.2,3.5,40.3,2.5,31.7
Mikal Bridges,Nets,82,19.6,4.5,3.6,43.3,2.7,34.8
Devin Vassell,Spurs,68,19.5,3.8,4.1,46.1,2.4,33
Domantas Sabonis,Kings,82,19.4,13.7,8.2,59.7,0.4,35.7
Bam Adebayo,Heat,71,19.3,10.4,3.9,53,0.2,34
Coby White,Bulls,79,19.1,4.5,5.1,44.4,2.6,36.5
Jalen Williams,Thunder,71,19.1,4,4.5,54.1,1.5,31.4
Collin Sexton,Jazz,78,18.7,2.6,4.9,47.1,1.6,26.6
Bradley Beal,Suns,53,18.2,4.4,5,52.1,1.9,33.4
Darius Garland,Cavaliers,57,18,2.7,6.5,44.4,2.3,33.3
Nikola Vucevic,Bulls,76,18,10.5,3.3,48,1.2,34.4
D'Angelo Russell,Lakers,77,17.9,3.1,6.4,44.5,2.9,32.7
Klay Thompson,Warriors,77,17.9,3.3,2.3,42.2,3.5,29.6
Fred VanVleet,Rockets,73,17.4,3.8,8.1,40.8,3.1,36.8
Jordan Poole,Wizards,78,17.4,2.7,4.4,39.3,2.4,30.1
Brandon Miller,Hornets,74,17.3,4.3,2.4,44,2.5,32.2
Tobias Harris,76ers,70,17.2,6.5,3.1,47.9,1.3,33.9
Jordan Clarkson,Jazz,55,17.1,3.4,5,39,1.7,30.6
Myles Turner,Pacers,78,17,6.9,1.3,52,1.5,27
Bogdan Bogdanovic,Hawks,79,16.9,3.4,3.1,43.4,3,30.4
Deandre Ayton,Trail Blazers,55,16.7,11.1,1.6,56.2,0,32.4
Michael Porter Jr.,Nuggets,81,16.7,7,1.5,48,2.7,31.7
James Harden,Clippers,72,16.6,5.1,8.5,42,2.6,34.3
Chet Holmgren,Thunder,82,16.5,7.9,2.4,52.6,1.6,29.4
Jarrett Allen,Cavaliers,77,16.5,10.5,2.7,64.3,0,31.7
Jonathan Kuminga,Warriors,74,16.1,4.8,2.2,51.9,0.7,26.4
Austin Reaves,Lakers,83,16,4.3,5.5,49,1.9,32
Jalen Johnson,Hawks,56,16,8.7,3.6,52.8,1.3,33.7
Evan Mobley,Cavaliers,50,15.7,9.4,3.2,57.8,0.4,30.6
Keldon Johnson,Spurs,69,15.7,5.5,2.8,44.8,1.8,29.6
De'Andre Hunter,Hawks,57,15.6,3.9,1.5,45.1,2.1,29.5
Donte DiVincenzo,Knicks,81,15.5,3.7,2.7,43.2,3.5,29.2
Jaden Ivey,Pistons,77,15.4,3.4,3.8,42.8,1.6,28.8
Kelly Oubre Jr.,76ers,68,15.4,5,1.5,43.6,1.5,30.3
Malik Monk,Kings,72,15.4,2.9,5.1,43,2.1,26
Derrick White,Celtics,73,15.2,4.2,5.2,45.8,2.7,32.6
Keegan Murray,Kings,77,15.2,5.5,1.7,43.2,2.4,33.6
John Collins,Jazz,68,15.1,8.5,1.1,53.5,1.3,27.9
Khris Middleton,Bucks,55,15.1,4.7,5.3,49.2,1.7,27.1
Trey Murphy III,Pelicans,57,14.8,4.9,2.2,43.5,3,29.7
Deni Avdija,Wizards,75,14.7,7.2,3.8,49.9,1.2,30.1
Bennedict Mathurin,Pacers,60,14.6,3.9,2,43,1.4,26.1
GG Jackson,Grizzlies,48,14.6,4.1,1.2,40.7,2.1,25.7
Tim Hardaway Jr.,Mavericks,79,14.4,3.2,1.8,38.3,2.7,26.9
Caris LeVert,Cavaliers,68,14,4.1,5.1,41.3,1.6,28.8
Rudy Gobert,Timberwolves,76,14,12.9,1.3,66.3,0,34.1
Scoot Henderson,Trail Blazers,62,14,3.1,5.4,39,1.4,28.5
Aaron Gordon,Nuggets,73,13.9,6.5,3.5,57.9,0.5,31.5
Norman Powell,Clippers,76,13.9,2.6,1.1,48.2,2.2,26.2
Bobby Portis,Bucks,82,13.8,7.4,1.3,49,1.2,24.5
Jalen Duren,Pistons,61,13.8,11.6,2.4,63.2,0,29.1
Dennis Schroder,Raptors,51,13.7,2.7,6.1,43.3,1.5,30.6
Gary Trent Jr.,Raptors,71,13.7,2.6,1.7,40.9,2.5,28.1
Jabari Smith Jr.,Rockets,76,13.7,8.1,1.6,45.2,1.8,31.9
Saddiq Bey,Hawks,63,13.7,6.5,1.5,42,1.8,32.7
P.J. Washington,Hornets,44,13.6,5.3,2.2,42.3,1.8,29.2
Grayson Allen,Suns,75,13.5,3.9,3,49.6,2.7,33.5
Naz Reid,Timberwolves,81,13.5,5.2,1.3,47.8,2.1,24.3
Cameron Johnson,Nets,58,13.4,4.3,2.4,44.2,2.4,27.6
Corey Kispert,Wizards,80,13.4,2.8,2,48.2,2.3,25.9
Rui Hachimura,Lakers,69,13.4,4.3,1.2,53.6,1.4,26.6
Andrew Wiggins,Warriors,71,13.2,4.5,1.7,44.2,1.3,27.1
Keyonte George,Jazz,75,13,2.8,4.4,37.6,2,27
Duncan Robinson,Heat,68,12.9,2.5,2.8,42.5,2.8,28
Dillon Brooks,Rockets,72,12.7,3.4,1.7,41.8,1.8,30.9
Alec Burks,Pistons,43,12.6,2.6,1.6,37.3,2.3,21
Jalen Suggs,Magic,75,12.6,3.1,2.7,46.5,2,27
Spencer Dinwiddie,Nets,48,12.6,3.3,6,37.2,1.9,30.7
Brook Lopez,Bucks,79,12.5,5.2,1.6,47.8,1.9,30.5
Jrue Holiday,Celtics,69,12.5,5.4,4.8,48.7,2,32.8
Cam Whitmore,Rockets,47,12.3,3.8,0.7,44.5,1.7,18.7
Josh Giddey,Thunder,80,12.3,6.4,4.8,47.7,1,25.1
Aaron Nesmith,Pacers,73,12.2,3.8,1.5,49.5,1.9,27.7
Ayo Dosunmu,Bulls,76,12.2,2.8,3.2,48.2,1.6,29.2
Harrison Barnes,Kings,82,12.2,3,1.2,44.8,1.8,29
Jonas Valanciunas,Pelicans,82,12.2,8.8,2.1,54.8,0.5,23.5
Max Strus,Cavaliers,70,12.2,4.8,4,41.2,2.4,32
Tyus Jones,Wizards,66,12,2.7,7.3,47.7,1.6,29.3
Buddy Hield,Pacers,53,11.9,3.2,2.7,42.6,2.6,25.8
Jaime Jaquez Jr.,Heat,75,11.9,3.8,2.6,48.5,0.9,28.1
Nic Claxton,Nets,71,11.8,9.9,2.1,64.2,0,29.8
Ivica Zubac,Clippers,68,11.7,9.2,1.4,66.1,0,26.4
Cole Anthony,Magic,81,11.6,3.8,2.9,41.4,1.1,22.4
Jeremy Sochan,Spurs,74,11.6,6.4,3.4,41.4,0.9,29.6
Clint Capela,Hawks,73,11.5,10.6,1.2,57.6,0,25.8
Mike Conley,Timberwolves,76,11.4,2.9,5.9,45.1,2.4,28.8
Malik Beasley,Bucks,79,11.3,3.7,1.4,43.9,2.8,29.6
Zach Collins,Spurs,69,11.2,5.4,2.8,47.8,0.8,22.2
Jakob Poeltl,Raptors,50,11.1,8.6,2.5,66.5,0,26.4
Russell Westbrook,Clippers,68,11.1,5,4.5,45.5,0.6,22.4
Eric Gordon,Suns,68,11,1.8,2,41.5,2.2,27.8
Herbert Jones,Pelicans,76,11,3.6,2.6,49.9,1.5,30.5
Wendell Carter Jr.,Magic,55,11,6.9,1.7,52.7,1.2,25.5
Daniel Gafford,Wizards,45,10.9,8,1.5,70.7,0,26.4
Isaiah Stewart,Pistons,46,10.9,6.6,1.6,49.9,1.5,31
Jusuf Nurkic,Suns,76,10.9,11,4,51.7,0.3,27.3
Luguentz Dort,Thunder,79,10.9,3.6,1.4,42.8,2,28.4
Moritz Wagner,Magic,80,10.8,4.3,1.2,59.5,0.5,17.7
Santi Aldama,Grizzlies,61,10.7,5.8,2.3,44.4,1.7,26.6
Jaden McDaniels,Timberwolves,72,10.5,3.1,1.4,48.6,1.2,29.2
Obi Toppin,Pacers,83,10.3,3.9,1.5,56.1,1.3,21.2
Kevin Huerter,Kings,64,10.2,3.5,2.6,41.3,1.9,24.5
Onyeka Okongwu,Hawks,55,10.2,6.8,1.3,61.5,0.4,25.5
Reggie Jackson,Nuggets,82,10.2,1.9,3.8,41.3,1.2,22.2
T.J. McConnell,Pacers,72,10.2,2.7,5.5,53.8,0.2,18.2
Alex Caruso,Bulls,71,10.1,3.8,3.5,48,1.9,28.7
Kentavious Caldwell-Pope,Nuggets,76,10.1,2.4,2.4,45.4,1.6,31.6
Talen Horton-Tucker,Jazz,51,10.1,2.4,3.5,37.5,1.2,19.7
Caleb Martin,Heat,64,10,4.4,2.2,42.2,1.3,27.5
Patrick Williams,Bulls,43,10,3.9,1.5,40.2,1.4,27.3
Tre Jones,Spurs,77,10,3.8,6.2,49.3,0.8,27.7
Vince Williams Jr.,Grizzlies,52,10,5.6,3.4,40.3,1.5,27.8
Jalen Smith,Pacers,61,9.9,5.5,1,60.9,1,17.1
Josh Richardson,Heat,43,9.9,2.8,2.4,44.5,1.5,25.7
Lonnie Walker IV,Nets,58,9.7,2.2,1.3,37.6,1.8,17.5
Nick Richards,Hornets,67,9.7,8,0.8,68.6,0,26.3
Payton Pritchard,Celtics,82,9.6,3.2,3.4,42.7,1.8,22.2
Amen Thompson,Rockets,62,9.5,6.6,2.6,51.1,0.1,22.4
Georges Niang,Cavaliers,82,9.4,3.4,1.2,44.2,1.8,22.3
Isaac Okoro,Cavaliers,69,9.4,3,1.9,50.2,1.2,27.4
Josh Hart,Knicks,81,9.4,8.3,4.1,41.7,1,33.4
Andrew Nembhard,Pacers,67,9.3,2.1,4.2,50.2,0.9,25.3
Brandin Podziemski,Warriors,73,9.3,5.8,3.7,44.2,1.2,27
Chris Paul,Warriors,58,9.2,3.9,6.8,42.5,1.3,26.4
Malaki Branham,Spurs,75,9.2,2,2.1,41.7,1.2,21.2
Duop Reath,Trail Blazers,68,9.1,3.7,1,45.3,1.3,17.9
Sam Hauser,Celtics,79,9,3.5,1,46.9,2.5,22.1
Jabari Walker,Trail Blazers,72,8.9,7.1,1,45.8,0.6,23.6
Simone Fontecchio,Jazz,50,8.9,3.5,1.5,43.1,1.8,23.2
Taurean Prince,Lakers,79,8.9,2.9,1.5,44.1,1.8,26.9
Ausar Thompson,Pistons,63,8.8,6.4,1.9,46.9,0.3,25.2
Dereck Lively II,Mavericks,55,8.8,6.9,1.1,70.6,0,23.5
Kevin Love,Heat,55,8.8,6.1,2.1,43,1.5,16.8
Terance Mann,Clippers,75,8.8,3.4,1.6,50.3,0.9,25
Al Horford,Celtics,65,8.6,6.4,2.6,51.1,1.7,26.8
David Roddy,Grizzlies,47,8.6,4.3,1.6,36,1,23.7
Derrick Jones Jr.,Mavericks,76,8.6,3.3,1,47.8,1.1,23.4
Draymond Green,Warriors,55,8.6,7.2,6,49.1,0.9,27.1
Ziaire Williams,Grizzlies,49,8.6,3.7,1.5,35.8,1.2,21.2
Dorian Finney-Smith,Nets,68,8.5,4.7,1.6,41,1.7,28.4
Gradey Dick,Raptors,60,8.5,2.2,1.1,40.8,1.5,21.2
Andre Drummond,Bulls,79,8.4,9,0.5,57.1,0,17.1
Bilal Coulibaly,Wizards,63,8.4,4.1,1.7,44.8,1,27.3
Marcus Sasser,Pistons,71,8.3,1.8,3.3,40.7,1.3,19
Miles McBride,Knicks,68,8.3,1.5,1.7,44.6,1.6,19.5
Isaiah Joe,Thunder,78,8.2,2.3,1.3,46.8,1.9,18.5
Josh Green,Mavericks,57,8.2,3.2,2.3,44.5,1.3,26.4
Trayce Jackson-Davis,Warriors,66,8.2,5.2,1.2,67.4,0,17.2
Grant Williams,Mavericks,47,8.1,3.6,1.7,39.6,1.7,26.4
Kelly Olynyk,Jazz,50,8.1,5.1,4.4,55.3,0.7,20.4
Moses Moody,Warriors,66,8.1,3,0.9,46.7,1.1,17.6
Walker Kessler,Jazz,64,8.1,7.5,0.9,68.5,0.1,23.2
Dario Saric,Warriors,64,8,4.4,2.2,42.2,1.2,17.2
Nickeil Alexander-Walker,Timberwolves,82,8,2,2.5,42.5,1.6,23.5
Sam Merrill,Cavaliers,61,8,2,1.8,34.6,2.3,17.5
Jordan Hawkins,Pelicans,66,7.9,2.2,1.1,36,1.7,17.6
Dante Exum,Mavericks,55,7.8,2.7,2.9,50.7,1,19.8
Isaiah Hartenstein,Knicks,75,7.8,8.3,2.5,65.4,0,25.3
Markelle Fultz,Magic,43,7.8,3.2,2.8,46,0.1,21.2
Nikola Jovic,Heat,46,7.7,4.2,2,43.8,1.4,19.5
Precious Achiuwa,Knicks,49,7.6,7.2,1.1,52.3,0.3,24.2
Toumani Camara,Trail Blazers,70,7.5,4.9,1.2,46.6,0.8,24.9
Royce O'Neale,Nets,49,7.4,4.5,2.8,39.4,2,24.5
Christian Braun,Nuggets,82,7.3,3.7,1.6,43.3,0.8,20.2
Jaden Hardy,Mavericks,73,7.3,1.8,1.5,38.7,1.1,13.6
Paul Reed,76ers,82,7.3,6,1.3,54,0.3,19.4
Quentin Grimes,Knicks,45,7.3,2,1.2,38.7,1.7,20.2
Taylor Hendricks,Jazz,40,7.3,4.6,0.8,44.2,1.3,21.4
Trey Lyles,Kings,58,7.2,4.4,1.2,40.1,1.4,20
James Wiseman,Pistons,63,7.1,5.3,0.9,58.3,0,17.3
Jose Alvarado,Pelicans,56,7.1,2.3,2.1,42.5,1.4,18.4
Landry Shamet,Wizards,46,7.1,1.3,1.2,41.1,1.2,15.8
Naji Marshall,Pelicans,66,7.1,3.6,1.9,45.6,0.9,19.1
Trendon Watford,Nets,62,7,3.1,1.3,54.9,0.4,13.8
Aaron Wiggins,Thunder,78,6.9,2.4,1.1,55.4,0.8,15.7
Christian Wood,Lakers,50,6.9,5.1,1,46,0.7,17.5
Gary Harris,Magic,54,6.9,1.7,1.6,44.1,1.4,24
Killian Hayes,Pistons,42,6.9,2.8,4.9,37.8,0.5,24
Cason Wallace,Thunder,82,6.8,2.3,1.5,48.3,1.2,20.7
Cedi Osman,Spurs,72,6.8,2.5,1.7,45.3,1.2,17.6
Day'Ron Sharpe,Nets,61,6.8,6.4,1.4,59.2,0.1,15.1
Jonathan Isaac,Magic,58,6.8,4.5,0.5,49.3,0.7,15.8
Julian Champagnie,Spurs,74,6.8,2.8,1.4,36,1.4,19.9
Isaiah Jackson,Pacers,59,6.7,4.1,0.8,67.6,0,13.4
Peyton Watson,Nuggets,80,6.7,3.2,1.1,45.8,0.6,18.6
Aaron Holiday,Rockets,78,6.6,1.6,1.8,39.5,1.1,16.3
Amir Coffey,Clippers,70,6.6,2.1,1.1,45.6,1,20.8
Dennis Smith Jr.,Nets,56,6.6,2.9,3.6,42.6,0.6,18.9
Jeff Green,Rockets,78,6.5,2.3,0.9,44.7,0.7,16.7
Chris Boucher,Raptors,50,6.4,4.1,0.5,49.5,0.6,14.1
Kyle Anderson,Timberwolves,79,6.4,3.5,4.2,47.2,0.1,22.5
Bruno Fernando,Hawks,45,6.3,4.3,1,55,0,15.2
Daniel Theis,Clippers,59,6.3,4.1,1,49.5,0.4,17.1
Jared Butler,Wizards,40,6.3,1.4,3.1,50.7,0.6,14.1
Patrick Beverley,76ers,47,6.3,3.1,3.1,41.5,0.7,19.6
Cameron Payne,Bucks,47,6.2,1.3,2.3,41.2,1.1,14.9
Jae Crowder,Bucks,50,6.2,3.2,1.3,42.8,1.2,23.1
Haywood Highsmith,Heat,66,6.1,3.2,1.1,44.7,1.2,20.7
Kris Murray,Trail Blazers,62,6.1,3.6,1.3,38.5,0.8,21.7
Doug McDermott,Spurs,46,6,1,1.2,39.7,1.7,15.3
Nick Smith Jr.,Hornets,51,5.9,1.4,1.2,42.9,1.2,14.2
Dyson Daniels,Pelicans,61,5.8,3.9,2.7,43.5,0.7,22.3
Larry Nance Jr.,Pelicans,61,5.7,5,1.9,56.9,0.4,19.9
Torrey Craig,Bulls,53,5.7,4.1,1.1,41,1.1,19.8
Craig Porter Jr.,Cavaliers,51,5.6,2.1,2.3,46.5,0.2,12.8
Nicolas Batum,76ers,56,5.6,4.3,2.2,44.8,1.3,26.3
Pat Connaughton,Bucks,76,5.6,3.1,2.1,45.6,1.1,22
Cam Reddish,Lakers,49,5.5,2.1,1,31.8,0.8,20.8
Gary Payton II,Warriors,44,5.5,2.6,1.1,53.8,0.5,15.6
Kris Dunn,Jazz,65,5.5,2.9,3.9,48.7,0.6,19.2
Dean Wade,Cavaliers,54,5.4,4,0.8,36.6,1.5,20.6
Keon Ellis,Kings,57,5.4,2.2,1.5,39.5,1.2,17.1
Matisse Thybulle,Trail Blazers,65,5.4,2.1,1.4,34.8,1.2,22.9
Ochai Agbaji,Jazz,51,5.4,2.5,0.9,43.4,0.9,19.6
Sasha Vezenkov,Kings,42,5.4,2.3,0.5,40.5,1.1,12.2
Bol Bol,Suns,42,5.3,3.3,0.4,59.2,0.5,11.1
Davion Mitchell,Kings,72,5.3,1.3,1.9,41,0.8,15.3
Luke Kornet,Celtics,63,5.3,4.1,1.1,69.9,0,15.7
Mason Plumlee,Clippers,46,5.3,5.1,1.2,57,0,14.6
Bryce McGowens,Hornets,59,5.1,1.7,0.9,39.1,0.6,14.9
Drew Eubanks,Suns,75,5.1,4.3,0.8,59.6,0,15.5
Goga Bitadze,Magic,61,5.1,4.7,1.3,61.4,0,15.7
Jalen Wilson,Nets,42,5.1,3.1,1.1,50.7,0.6,15.8
Jevon Carter,Bulls,72,5,0.8,1.3,34.9,1.1,13.9
Eugene Omoruyi,Wizards,42,4.9,2,0.8,44.7,0.3,9.3
Garrison Mathews,Hawks,66,4.9,1.4,0.6,47.4,1.3,15
Jock Landale,Rockets,56,4.9,3.1,1.2,48.4,0.2,13.6
AJ Green,Bucks,54,4.7,1.2,0.6,40.3,1.3,11.4
Anthony Black,Magic,67,4.7,2.1,1.4,43.6,0.6,17.3
Kenrich Williams,Thunder,69,4.7,3,1.3,44.6,0.8,14.9
Omer Yurtseven,Jazz,47,4.7,4.4,0.6,52.3,0.1,11.6
Josh Okogie,Suns,60,4.6,2.6,1.1,37.7,0.5,16.1
Julian Strawther,Nuggets,50,4.5,1.2,0.9,30,0.8,11
Kevon Looney,Warriors,74,4.5,5.7,1.8,60.1,0,16.1
MarJon Beauchamp,Bucks,47,4.5,2.1,0.7,46.8,0.6,12.9
Ben Sheppard,Pacers,57,4.4,1.6,0.9,35.6,0.9,14.3
Blake Wesley,Spurs,61,4.4,1.5,2.7,44.8,0.2,14.4
Joe Ingles,Magic,68,4.4,2.1,3,40.7,1,17.1
John Konchar,Grizzlies,54,4.4,4.8,2,38.9,0.7,21.8
Maxi Kleber,Mavericks,43,4.4,3.3,1.6,39.2,0.7,20.2
Mo Bamba,76ers,57,4.4,4.2,0.7,45.8,0.4,13
Anthony Gill,Wizards,44,4.3,2.1,0.8,47.5,0.2,10.7
Caleb Houstan,Magic,59,4.3,1.4,0.5,41.4,1.2,13.8
Jaxson Hayes,Lakers,71,4.3,3,0.5,69.2,0,12.5
Max Christie,Lakers,67,4.3,2.1,0.9,46.5,0.6,14.4
Justin Holiday,Nuggets,56,4.2,1.3,1.2,43,1,15.4
Sandro Mamukelashvili,Spurs,45,4.2,3.3,1.1,42.8,0.4,10
Jae'Sean Tate,Rockets,65,4.1,3,1,46.3,0.4,15.9
Luka Samanic,Jazz,43,4.1,2.4,0.4,40.1,0.3,9.5
Chris Duarte,Kings,58,4,1.8,0.8,34.2,0.8,12.4
JaVale McGee,Kings,46,4,2.7,0.4,57.1,0,7.4
Jaylin Williams,Thunder,69,4,3.4,1.6,42.3,0.8,13
Svi Mykhailiuk,Celtics,41,4,1.2,0.9,45.8,1,10.1
KJ Martin,76ers,58,3.7,2.2,0.9,54.1,0.1,12.3
Oshae Brissett,Celtics,54,3.7,3,0.8,45.8,0.3,11.7
Jordan McLaughlin,Timberwolves,56,3.5,1.3,2,46,0.8,11.2
A.J. Lawson,Mavericks,40,3.4,1.2,0.5,48.5,0.3,7.8
Jalen McDaniels,Raptors,50,3.4,1.6,0.7,28.5,0.2,10.8
Nassir Little,Suns,45,3.4,1.7,0.5,46.8,0.5,10.2
Dwight Powell,Mavericks,63,3.3,3.4,1.3,65.5,0,13.3
Tristan Thompson,Cavaliers,49,3.3,3.6,1,58.4,0,11.3
Ish Smith,Hornets,43,3.2,1.8,3.4,42.4,0.1,17.2
JT Thor,Hornets,62,3.2,2.4,0.5,47,0.5,12.6
Zeke Nnaji,Nuggets,58,3.2,2.2,0.6,42.4,0.1,9.9
Dalen Terry,Bulls,59,3.1,1.9,1.4,41.6,0.3,11.5
Johnny Davis,Wizards,50,3,1.4,0.6,39.2,0.3,12.3
Alex Len,Kings,48,2.5,2.7,1,57.3,0,9.3
Chuma Okeke,Magic,46,2.3,1.7,0.4,30.3,0.5,9.4
Andre Jackson Jr.,Bucks,56,2.2,2,0.9,44.8,0.3,10.3
Reggie Bullock Jr.,Rockets,44,2.2,1.7,0.3,37.4,0.6,9.5
Kobe Brown,Clippers,43,2.1,1.4,0.6,36.4,0.3,9.1
Jericho Sims,Knicks,45,2,3.3,0.6,67.7,0,13.1
Kessler Edwards,Kings,48,1.9,0.9,0.3,31.3,0.4,5.7
Cody Zeller,Pelicans,42,1.8,2.7,0.9,40.7,0,7.6
